ALBERT,BART,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL,TRUE,Min_IH,Prediction,Selected_view,Selected_cls,Accuracy,Oracle_view
4 (0.88),3 (0.76),3 (0.84),1 (0.76),2 (0.92),4 (0.84),5 (0.72),4 (0.92),4 (0.76),5 (0.8),3 (0.8),5 (0.76),1 (0.8),4 (0.88),5 (0.8),1,Falcon,"(5,)",Falcon,"AdaBoost, BiLSTM, CNN, KNN, SVM, XGBoost",FALSE,TRUE
2 (0.84),4 (0.72),3 (0.88),3 (0.84),1 (0.88),3 (0.8),2 (0.8),3 (0.84),1 (0.76),2 (0.76),0 (0.68),3 (0.72),1 (0.84),2 (0.96),2 (0.8),3,RoBERTa,"(0,)",RoBERTa,"KNN, LR, NB",FALSE,TRUE
4 (0.76),1 (0.76),4 (0.64),5 (0.88),4 (0.84),4 (0.8),4 (0.88),4 (0.76),4 (0.72),5 (0.84),5 (0.72),4 (0.76),4 (0.88),4 (0.88),5 (0.84),5,BERT,"(4,)",BERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",FALSE,TRUE
3 (0.76),1 (0.8),1 (0.84),1 (0.88),1 (0.8),1 (0.8),2 (0.8),3 (0.76),1 (0.84),1 (0.84),2 (0.8),1 (0.92),1 (0.72),1 (0.88),1 (0.92),2,XLNET,"(1,)",XLNET,"BiLSTM, CNN, KNN, LR, MLP",FALSE,TRUE
0 (0.64),1 (0.68),0 (0.64),1 (0.76),4 (0.8),1 (0.88),3 (0.84),0 (0.8),4 (0.88),3 (0.8),3 (0.84),0 (0.88),1 (0.96),0 (0.8),2 (0.6),0,MISTRAL,"(2,)",MISTRAL,"AdaBoost, KNN, LR, MLP, RF",FALSE,TRUE
4 (0.88),5 (0.72),4 (0.8),4 (0.76),3 (0.92),4 (0.8),1 (0.64),5 (0.76),5 (0.88),5 (0.8),4 (0.76),4 (0.76),1 (0.84),1 (0.68),5 (0.64),3,"Falcon,MISTRAL","(1, 5)",Falcon,"BiLSTM, CNN, LR, NB, XGBoost",FALSE,TRUE
3 (0.72),4 (0.72),1 (0.84),2 (0.8),1 (0.88),2 (0.84),1 (0.72),1 (0.88),3 (0.68),1 (0.88),1 (0.84),1 (0.84),1 (0.84),1 (0.76),1 (0.76),1,Glove,"(3,)",Glove,"AdaBoost, BiLSTM, CNN, KNN, LR, NB, XGBoost",FALSE,TRUE
0 (0.68),1 (0.76),0 (0.84),1 (0.56),0 (0.88),1 (0.68),2 (0.8),1 (0.8),1 (0.88),1 (0.68),1 (0.68),1 (0.8),0 (0.84),2 (0.68),2 (0.72),0,DistilBERT,"(1,)",DistilBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, RF, SVM, XGBoost",FALSE,TRUE
4 (0.68),2 (0.88),3 (0.92),4 (0.92),2 (0.84),5 (0.6),4 (0.84),5 (0.84),1 (0.72),4 (0.68),1 (0.96),1 (0.88),2 (0.76),4 (0.8),4 (0.84),4,ELMO,"(5,)",ELMO,"BiLSTM, CNN, KNN, LR, MLP, NB",FALSE,TRUE
2 (0.88),3 (0.92),3 (0.8),2 (0.76),2 (0.92),3 (0.8),3 (0.76),3 (0.8),3 (0.96),3 (0.88),1 (0.76),3 (0.88),4 (0.92),3 (0.84),3 (0.84),4,"DistilBERT,Falcon,RoBERTa","(2, 3, 1)",Falcon,"BiLSTM, CNN, LR, RF, XGBoost",FALSE,TRUE
2 (0.84),1 (0.84),1 (0.72),2 (0.64),1 (0.72),1 (0.6),2 (0.64),1 (0.76),1 (0.8),2 (0.84),0 (0.88),2 (0.92),3 (0.84),2 (0.72),2 (0.76),1,ELMO,"(1,)",ELMO,"BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",TRUE,TRUE
3 (0.84),1 (0.72),4 (0.92),0 (0.88),3 (0.84),5 (0.68),4 (0.92),2 (0.8),1 (0.68),0 (0.96),1 (0.92),0 (0.76),1 (0.88),1 (0.88),0 (0.84),1,"ELMO,Glove","(5, 1)",Glove,"KNN, RF",TRUE,TRUE
2 (0.8),1 (0.72),5 (0.84),3 (0.76),1 (0.8),2 (0.8),3 (0.6),3 (0.68),2 (0.8),3 (0.8),3 (0.8),3 (0.76),3 (0.6),3 (0.8),3 (0.72),1,"Falcon,XLNET","(3, 3)",Falcon,"AdaBoost, BiLSTM, CNN, KNN, NB, RF, SVM, XGBoost",FALSE,TRUE
3 (0.8),4 (0.84),3 (0.8),1 (0.8),3 (0.84),2 (0.84),1 (0.76),3 (0.72),2 (0.8),2 (0.84),1 (0.68),2 (0.84),2 (0.76),2 (0.76),2 (0.72),4,RoBERTa,"(1,)",RoBERTa,"AdaBoost, BiLSTM, CNN, LR, MLP, RF, SVM, XGBoost",FALSE,TRUE
2 (1.0),3 (0.92),1 (0.92),2 (0.6),3 (0.72),1 (0.92),1 (0.92),1 (0.68),1 (0.96),3 (0.76),1 (0.88),1 (0.76),2 (0.76),1 (0.92),2 (0.84),1,DistilBERT,"(2,)",DistilBERT,"AdaBoost, KNN, MLP, NB, XGBoost",FALSE,TRUE
2 (0.88),1 (0.68),0 (0.84),0 (0.92),2 (0.68),0 (0.8),0 (0.96),2 (0.76),1 (0.84),0 (0.88),0 (0.88),0 (0.84),0 (0.76),0 (0.88),0 (0.84),0,"BART,ELECTRA","(1, 2)",BART,"KNN, LR, XGBoost",FALSE,TRUE
2 (0.72),1 (0.8),1 (0.72),1 (0.84),0 (0.76),1 (0.84),2 (0.68),2 (0.84),3 (0.88),1 (0.76),2 (0.88),2 (0.96),1 (0.76),2 (0.84),1 (0.72),4,Falcon,"(2,)",Falcon,"BiLSTM, CNN, KNN, LR, NB, RF, XGBoost",FALSE,FALSE
3 (0.88),2 (0.76),1 (0.88),1 (0.88),3 (0.8),1 (0.76),3 (0.72),3 (0.88),3 (0.8),3 (0.72),3 (0.72),3 (0.76),1 (0.84),3 (0.76),3 (0.72),1,"Falcon,LLAMA,RoBERTa,MISTRAL","(3, 3, 3, 3)",MISTRAL,"AdaBoost, LR, RF, SVM, XGBoost",FALSE,TRUE
4 (0.76),1 (0.8),4 (0.68),4 (0.8),4 (0.84),4 (0.64),4 (0.72),4 (0.76),4 (0.84),4 (0.76),4 (0.76),4 (0.6),5 (0.76),4 (0.72),4 (0.56),4,MISTRAL,"(4,)",MISTRAL,"AdaBoost, BiLSTM, CNN, KNN, LR, NB, SVM, XGBoost",TRUE,TRUE
4 (0.68),1 (0.84),3 (0.8),5 (0.84),3 (0.8),3 (1.0),4 (0.8),2 (0.56),4 (0.76),5 (0.76),4 (0.76),4 (0.8),5 (0.8),5 (0.8),4 (0.72),1,Fasttext,"(2,)",Fasttext,"KNN, XGBoost",FALSE,TRUE
3 (0.84),3 (0.92),1 (0.72),3 (0.8),2 (0.84),3 (0.84),0 (0.72),3 (0.92),2 (0.68),3 (0.72),2 (0.92),1 (0.92),1 (0.88),3 (0.68),0 (0.68),1,"Glove,LLAMA3,MISTRAL","(2, 3, 0)",MISTRAL,"KNN, RF",FALSE,TRUE
4 (0.88),4 (0.76),3 (0.52),4 (0.8),3 (0.84),4 (0.84),4 (0.84),4 (0.88),4 (0.76),5 (0.6),3 (0.8),3 (0.96),3 (0.8),4 (0.64),4 (0.8),3,BERT,"(3,)",BERT,"BiLSTM, CNN, KNN, LR, MLP, RF, SVM",TRUE,TRUE
4 (0.72),4 (0.84),4 (0.64),5 (0.88),1 (0.72),4 (0.84),5 (0.88),5 (0.8),4 (0.92),5 (0.88),4 (0.64),5 (0.68),4 (0.88),4 (0.92),4 (1.0),4,"BERT,RoBERTa","(4, 4)",BERT,"AdaBoost, KNN, LR, NB, XGBoost",TRUE,TRUE
1 (0.84),1 (0.92),0 (0.84),4 (0.96),1 (0.76),0 (0.76),1 (0.84),3 (0.84),3 (0.84),1 (0.76),1 (0.92),0 (0.8),1 (0.92),1 (0.64),1 (0.68),5,LLAMA3,"(1,)",LLAMA3,"BiLSTM, CNN, KNN, LR, MLP, RF, SVM",FALSE,FALSE
0 (0.8),1 (0.88),4 (0.8),4 (0.8),3 (0.84),1 (0.72),4 (0.92),4 (0.72),1 (0.8),1 (0.84),1 (0.88),2 (0.84),5 (0.8),1 (0.96),1 (0.8),5,"ELMO,Fasttext","(1, 4)",ELMO,"BiLSTM, CNN, LR, MLP, SVM, XGBoost",FALSE,TRUE
1 (0.92),3 (0.8),1 (0.8),5 (0.92),4 (0.84),4 (0.8),4 (0.68),5 (0.68),4 (0.84),1 (0.8),4 (0.88),5 (0.92),1 (0.84),1 (0.96),1 (0.84),0,"Falcon,Fasttext","(4, 5)",Fasttext,"BiLSTM, CNN, KNN, LR, RF, SVM, XGBoost",FALSE,FALSE
4 (0.88),1 (0.72),5 (0.8),5 (0.84),1 (0.8),5 (0.56),5 (0.84),4 (0.84),3 (0.84),5 (0.88),5 (0.72),5 (0.8),1 (0.72),5 (0.84),5 (0.76),1,ELMO,"(5,)",ELMO,"AdaBoost, KNN, MLP, RF, XGBoost",FALSE,TRUE
2 (0.84),4 (0.88),2 (0.76),1 (0.76),3 (0.8),4 (0.96),1 (0.76),0 (0.72),1 (0.92),3 (0.84),0 (0.84),1 (0.88),3 (0.76),1 (0.8),3 (0.88),2,Fasttext,"(0,)",Fasttext,"AdaBoost, KNN, NB",FALSE,TRUE
3 (0.76),3 (0.84),3 (0.76),3 (0.8),3 (0.8),3 (0.88),3 (0.76),3 (0.68),4 (0.8),3 (0.76),3 (0.72),3 (0.72),3 (0.8),3 (0.72),3 (0.72),3,Fasttext,"(3,)",Fasttext,"BiLSTM, CNN, KNN, LR, NB, RF, SVM",TRUE,TRUE
3 (0.76),1 (0.8),2 (0.8),0 (0.68),1 (0.88),4 (0.88),4 (0.6),1 (0.8),1 (0.68),4 (0.76),3 (0.92),5 (0.88),1 (0.84),3 (0.68),4 (0.8),4,Falcon,"(4,)",Falcon,"AdaBoost, KNN, LR, MLP, NB, RF, SVM, XGBoost",TRUE,TRUE
5 (0.8),5 (0.96),2 (0.76),1 (0.88),4 (0.76),4 (0.84),3 (0.84),3 (0.84),3 (0.8),5 (0.76),5 (0.8),1 (0.8),5 (0.84),3 (0.96),3 (0.84),5,"BERT,ELECTRA,LLAMA","(2, 4, 5)",LLAMA,"BiLSTM, CNN, KNN, LR, NB, RF, SVM",TRUE,TRUE
5 (0.96),4 (0.8),5 (0.76),5 (0.8),4 (0.76),1 (0.92),2 (0.76),4 (0.8),1 (0.72),3 (0.84),3 (0.92),5 (0.8),1 (0.8),3 (0.88),3 (0.88),1,Glove,"(1,)",Glove,"BiLSTM, CNN, LR, MLP, RF, XGBoost",TRUE,TRUE
1 (0.56),4 (0.72),1 (0.8),3 (0.76),3 (0.8),3 (0.84),3 (0.76),1 (0.68),3 (0.76),3 (0.68),1 (0.72),3 (0.88),3 (0.8),1 (0.88),1 (0.8),0,ALBERT,"(1,)",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, RF, SVM, XGBoost",FALSE,FALSE
2 (0.84),1 (0.84),2 (0.88),1 (0.6),3 (0.72),1 (0.92),4 (0.76),1 (0.72),1 (0.76),1 (0.92),3 (0.72),1 (0.64),0 (0.88),4 (0.76),1 (0.92),5,DistilBERT,"(1,)",DistilBERT,"AdaBoost, BiLSTM, CNN, KNN, NB, RF, SVM, XGBoost",FALSE,FALSE
5 (0.76),1 (0.76),1 (0.76),1 (0.76),3 (0.96),1 (0.8),1 (0.84),1 (0.84),1 (1.0),3 (0.88),1 (0.92),5 (0.92),5 (0.88),1 (0.8),1 (0.88),0,"ALBERT,BART,BERT,DistilBERT","(5, 1, 1, 1)",BERT,"AdaBoost, KNN, NB, RF",FALSE,FALSE
2 (0.76),4 (0.8),2 (0.8),2 (0.88),3 (0.84),4 (0.8),2 (0.6),4 (0.72),4 (0.84),4 (0.76),1 (0.72),3 (0.72),2 (0.76),2 (0.72),2 (0.8),2,Falcon,"(2,)",Falcon,"KNN, NB, XGBoost",TRUE,TRUE
1 (0.92),2 (0.76),3 (0.8),0 (0.88),1 (0.8),1 (0.96),2 (0.92),1 (0.84),1 (0.76),2 (0.88),1 (0.92),0 (0.84),0 (0.88),2 (0.72),2 (0.96),1,LLAMA3,"(2,)",LLAMA3,"BiLSTM, CNN, KNN, RF",FALSE,TRUE
5 (0.68),3 (0.76),1 (0.72),1 (0.76),1 (0.72),1 (0.72),2 (0.84),1 (0.76),1 (0.8),1 (0.88),4 (0.96),1 (0.8),1 (0.64),5 (0.76),1 (0.96),2,XLNET,"(1,)",XLNET,"BiLSTM, CNN, KNN, MLP, NB, RF, SVM",FALSE,TRUE
3 (0.76),3 (0.8),4 (0.84),1 (0.88),3 (0.92),4 (0.8),0 (0.8),5 (0.84),4 (0.76),4 (0.76),5 (0.8),5 (0.92),4 (0.8),2 (0.64),2 (0.76),3,LLAMA3,"(2,)",LLAMA3,"BiLSTM, CNN, KNN, RF, SVM, XGBoost",FALSE,TRUE
3 (0.96),3 (0.76),1 (0.84),1 (0.8),0 (0.84),1 (0.76),2 (0.76),3 (0.68),1 (0.8),2 (0.72),2 (0.88),1 (0.84),2 (0.8),2 (0.6),2 (0.76),3,LLAMA3,"(2,)",LLAMA3,"AdaBoost, BiLSTM, CNN, LR, MLP, NB, RF, SVM, XGBoost",FALSE,TRUE
3 (0.72),3 (0.92),3 (0.8),3 (0.72),1 (0.76),0 (0.72),3 (0.88),1 (0.68),3 (0.8),0 (0.84),3 (0.6),1 (0.92),0 (0.92),3 (0.8),1 (0.96),2,RoBERTa,"(3,)",RoBERTa,"KNN, XGBoost",FALSE,FALSE
0 (0.72),1 (0.72),0 (0.92),0 (0.76),0 (0.8),0 (0.64),0 (0.8),1 (0.84),1 (0.72),0 (0.8),0 (0.92),0 (0.72),3 (0.72),0 (0.72),0 (0.72),0,ELMO,"(0,)",ELMO,"KNN, MLP, XGBoost",TRUE,TRUE
3 (0.8),5 (0.8),4 (0.84),1 (0.68),2 (0.96),4 (0.8),4 (0.88),4 (0.92),4 (0.96),4 (0.84),4 (0.68),5 (0.92),4 (0.8),4 (0.84),3 (0.8),5,"DistilBERT,RoBERTa","(1, 4)",DistilBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, SVM, XGBoost",FALSE,TRUE
0 (0.96),1 (0.88),0 (0.72),1 (0.84),0 (0.8),1 (0.72),1 (0.72),1 (0.76),1 (0.8),0 (0.8),0 (0.8),1 (0.76),1 (0.72),0 (0.76),0 (0.8),0,"BERT,ELMO,Falcon,XLNET","(0, 1, 1, 1)",BERT,"BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",TRUE,TRUE
1 (0.8),5 (0.64),5 (0.92),4 (0.64),4 (0.88),4 (0.8),3 (0.76),4 (0.76),5 (0.8),2 (0.84),4 (0.68),4 (0.72),4 (0.68),4 (0.84),4 (0.84),2,"BART,DistilBERT","(5, 4)",DistilBERT,"AdaBoost, KNN, MLP, NB, XGBoost",FALSE,TRUE
2 (0.88),3 (0.64),3 (0.84),4 (0.68),3 (0.84),2 (0.84),2 (0.64),3 (0.76),3 (0.8),2 (0.64),3 (0.8),3 (0.64),2 (0.76),2 (0.8),2 (0.8),1,"BART,Falcon,LLAMA,W2V","(3, 2, 2, 3)",BART,"AdaBoost, BiLSTM, CNN, KNN, LR, NB, RF, SVM, XGBoost",FALSE,FALSE
1 (0.92),3 (0.92),2 (0.8),3 (0.8),3 (0.8),3 (0.88),2 (0.8),2 (0.88),1 (0.76),2 (0.76),2 (0.88),2 (0.76),3 (0.92),2 (0.68),2 (0.8),1,LLAMA3,"(2,)",LLAMA3,"BiLSTM, CNN, KNN, MLP, NB, SVM",FALSE,TRUE
3 (0.8),1 (0.88),5 (0.76),4 (0.76),5 (0.88),5 (0.76),4 (0.72),4 (0.8),4 (0.68),4 (0.8),4 (0.92),3 (0.76),4 (0.8),4 (0.64),4 (0.76),5,LLAMA3,"(4,)",LLAMA3,"AdaBoost, BiLSTM, CNN, KNN, LR, NB, RF, SVM, XGBoost",FALSE,TRUE
3 (0.8),3 (0.96),0 (0.84),3 (0.8),3 (0.8),3 (0.88),3 (0.6),3 (0.76),1 (0.84),3 (0.68),3 (0.92),3 (0.8),2 (0.92),3 (0.88),3 (0.76),1,Falcon,"(3,)",Falcon,"AdaBoost, BiLSTM, CNN, KNN, NB, RF, SVM, XGBoost",FALSE,TRUE
5 (0.68),1 (0.76),4 (0.8),4 (0.8),4 (0.84),4 (0.76),4 (0.68),4 (0.72),3 (0.96),4 (0.92),4 (0.64),4 (0.88),3 (0.88),4 (0.92),4 (0.72),4,RoBERTa,"(4,)",RoBERTa,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, SVM, XGBoost",TRUE,TRUE
5 (0.8),3 (0.92),5 (0.64),5 (0.84),4 (0.68),4 (0.8),5 (0.88),5 (0.8),4 (0.72),5 (0.84),5 (0.84),5 (0.8),5 (0.92),5 (0.84),5 (0.76),2,BERT,"(5,)",BERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, RF, XGBoost",FALSE,FALSE
2 (0.8),1 (0.8),3 (0.64),1 (0.84),1 (0.92),1 (0.84),1 (0.72),0 (0.8),3 (0.92),1 (1.0),1 (0.88),1 (0.8),1 (0.92),1 (0.76),2 (0.84),1,BERT,"(3,)",BERT,"AdaBoost, BiLSTM, CNN, KNN, LR, NB, RF, SVM, XGBoost",FALSE,TRUE
2 (0.76),3 (0.84),2 (1.0),1 (0.84),3 (0.8),1 (0.68),2 (0.84),1 (0.88),4 (0.76),4 (0.84),4 (0.72),1 (0.92),0 (0.88),4 (0.8),1 (0.8),0,ELMO,"(1,)",ELMO,"BiLSTM, CNN, KNN, LR, MLP",FALSE,TRUE
4 (0.88),4 (0.8),5 (0.76),5 (0.68),1 (0.88),4 (0.72),4 (0.76),4 (0.72),3 (0.84),4 (0.8),4 (0.76),4 (0.76),4 (0.92),1 (0.8),4 (0.76),4,DistilBERT,"(5,)",DistilBERT,"BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",FALSE,TRUE
1 (0.48),1 (0.52),1 (0.44),1 (0.64),1 (0.56),1 (0.48),1 (0.52),1 (0.36),1 (0.48),1 (0.56),1 (0.56),3 (0.88),1 (0.64),1 (0.56),1 (0.56),5,Fasttext,"(1,)",Fasttext,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",FALSE,FALSE
1 (0.92),3 (0.8),4 (0.8),4 (0.8),4 (0.8),1 (0.88),1 (0.88),1 (0.8),3 (0.84),1 (0.8),3 (0.8),1 (0.88),5 (0.88),1 (0.76),1 (0.72),5,MISTRAL,"(1,)",MISTRAL,"BiLSTM, CNN, NB, SVM",FALSE,TRUE
3 (0.92),3 (0.84),3 (0.72),3 (0.68),1 (0.72),1 (0.84),3 (0.56),1 (0.84),1 (0.84),1 (0.96),3 (0.76),1 (0.8),0 (0.8),3 (0.68),1 (0.88),4,Falcon,"(3,)",Falcon,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM",FALSE,FALSE
3 (0.96),3 (0.84),2 (0.72),1 (0.88),1 (0.88),1 (0.92),3 (0.8),1 (0.64),1 (0.76),1 (0.72),3 (0.76),1 (0.84),1 (0.68),1 (0.64),3 (0.8),0,"Fasttext,LLAMA3","(1, 1)",Fasttext,"BiLSTM, CNN, KNN, LR, RF, XGBoost",FALSE,FALSE
1 (0.88),1 (0.88),1 (0.84),5 (0.92),4 (0.92),2 (0.92),3 (0.76),4 (0.76),0 (0.96),2 (0.8),5 (0.88),5 (0.88),4 (0.84),2 (0.88),1 (0.84),4,"Falcon,Fasttext","(3, 4)",Fasttext,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, SVM, XGBoost",TRUE,TRUE
5 (0.76),1 (0.88),1 (0.8),3 (0.72),5 (0.84),1 (0.76),3 (0.68),4 (0.8),4 (0.76),0 (0.84),2 (0.8),5 (0.76),4 (0.72),5 (0.76),3 (0.76),1,Falcon,"(3,)",Falcon,"BiLSTM, CNN, LR, MLP, RF, SVM, XGBoost",FALSE,TRUE
5 (0.88),3 (0.8),3 (0.84),2 (0.76),0 (0.64),0 (0.84),2 (0.88),1 (0.72),1 (0.92),4 (0.84),1 (0.76),1 (0.92),1 (0.84),3 (0.68),0 (0.76),3,ELECTRA,"(0,)",ELECTRA,"KNN, NB, XGBoost",FALSE,TRUE
3 (0.88),3 (0.84),0 (0.8),5 (0.88),4 (0.92),4 (0.68),3 (0.84),4 (0.88),4 (0.96),2 (0.84),3 (0.72),4 (0.92),4 (1.0),2 (0.88),4 (0.88),3,ELMO,"(4,)",ELMO,"BiLSTM, CNN, KNN, LR, MLP, RF, XGBoost",FALSE,TRUE
3 (0.76),4 (0.8),3 (0.72),3 (0.76),3 (0.68),3 (0.92),3 (0.8),3 (0.76),3 (0.8),3 (0.76),3 (0.8),1 (0.92),3 (0.76),3 (0.6),3 (0.64),3,LLAMA3,"(3,)",LLAMA3,"AdaBoost, BiLSTM, CNN, KNN, MLP, RF, SVM, XGBoost",TRUE,TRUE
4 (0.72),4 (0.76),5 (0.8),5 (0.64),4 (0.92),1 (0.68),4 (0.88),4 (0.68),3 (0.76),4 (0.8),4 (0.92),4 (0.72),4 (0.8),4 (0.76),4 (0.84),5,DistilBERT,"(5,)",DistilBERT,"BiLSTM, CNN, KNN, LR, RF, SVM",TRUE,TRUE
0 (0.92),4 (0.88),4 (0.84),1 (0.76),4 (0.72),4 (0.88),1 (0.76),2 (0.76),3 (0.76),1 (0.76),1 (0.72),0 (0.72),0 (0.76),4 (0.64),1 (0.88),3,LLAMA3,"(4,)",LLAMA3,"BiLSTM, CNN, KNN, LR, SVM",FALSE,TRUE
0 (0.68),1 (0.68),4 (0.92),3 (0.8),4 (0.88),2 (0.6),1 (0.76),4 (0.88),1 (0.76),1 (0.96),1 (0.72),4 (0.76),1 (0.92),1 (0.68),1 (0.72),1,ELMO,"(2,)",ELMO,"AdaBoost, BiLSTM, CNN, KNN",FALSE,TRUE
2 (0.76),1 (0.8),2 (0.72),1 (0.68),2 (0.84),4 (0.8),3 (0.8),3 (0.76),5 (0.64),3 (0.64),0 (0.84),3 (0.96),2 (0.84),1 (0.64),3 (0.84),4,"Glove,LLAMA,LLAMA3","(5, 3, 1)",Glove,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP",FALSE,TRUE
3 (0.64),4 (0.92),3 (0.96),3 (0.76),4 (0.76),1 (0.84),3 (0.84),3 (0.76),3 (0.72),3 (0.64),2 (0.68),3 (0.72),5 (0.76),4 (0.72),4 (0.52),4,MISTRAL,"(4,)",MISTRAL,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",TRUE,TRUE
1 (0.72),1 (0.56),1 (0.48),1 (0.8),1 (0.68),1 (0.88),1 (0.8),3 (0.84),1 (0.72),1 (0.92),4 (0.8),1 (0.88),2 (0.88),1 (0.88),1 (0.88),5,BERT,"(1,)",BERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",FALSE,FALSE
0 (0.68),1 (0.88),1 (0.84),1 (0.84),5 (0.88),1 (0.88),1 (0.64),1 (0.88),1 (0.64),1 (0.68),4 (0.84),1 (0.8),1 (0.84),1 (0.84),3 (0.96),1,"Falcon,Glove","(1, 1)",Falcon,"BiLSTM, CNN, KNN, LR, MLP, SVM, XGBoost",TRUE,TRUE
4 (0.8),3 (0.72),3 (0.72),4 (0.64),4 (0.84),4 (0.72),3 (0.8),3 (0.56),3 (0.8),3 (0.76),3 (0.8),4 (0.92),3 (0.8),3 (0.8),3 (0.76),4,Fasttext,"(3,)",Fasttext,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",FALSE,TRUE
4 (0.72),1 (0.84),4 (0.88),3 (0.72),4 (0.84),3 (0.72),4 (0.68),3 (0.8),4 (0.88),4 (0.8),4 (0.8),4 (0.76),3 (0.88),4 (0.6),4 (0.76),3,LLAMA3,"(4,)",LLAMA3,"AdaBoost, BiLSTM, CNN, KNN, MLP, NB, RF, SVM, XGBoost",FALSE,TRUE
3 (0.84),4 (0.76),3 (0.8),3 (0.68),3 (0.6),3 (0.88),2 (0.76),4 (0.76),4 (0.8),4 (0.8),2 (1.0),1 (0.8),5 (0.84),2 (0.84),2 (0.8),4,ELECTRA,"(3,)",ELECTRA,"AdaBoost, KNN, MLP, RF, XGBoost",FALSE,TRUE
1 (0.8),2 (0.92),1 (0.76),1 (0.68),1 (0.8),1 (0.8),1 (0.84),1 (0.72),1 (0.64),2 (0.68),2 (0.92),1 (0.8),1 (0.76),1 (0.8),2 (0.56),2,MISTRAL,"(2,)",MISTRAL,"BiLSTM, CNN, KNN, LR, MLP, RF, SVM, XGBoost",TRUE,TRUE
1 (0.64),0 (0.88),4 (0.84),1 (0.76),1 (0.88),1 (0.8),4 (0.84),5 (0.84),4 (0.8),4 (0.8),4 (0.92),4 (0.72),4 (0.84),3 (0.72),4 (0.72),1,ALBERT,"(1,)",ALBERT,"KNN, LR, RF, SVM",TRUE,TRUE
3 (0.84),3 (0.72),2 (0.76),2 (0.76),3 (0.72),1 (0.72),3 (0.8),3 (0.88),3 (0.8),4 (0.64),0 (0.68),3 (0.96),1 (0.84),0 (0.8),1 (0.8),2,LLAMA,"(4,)",LLAMA,"KNN, LR, MLP, NB, XGBoost",FALSE,TRUE
1 (0.92),1 (0.84),2 (0.88),1 (0.76),1 (0.8),1 (0.84),1 (0.84),1 (0.76),1 (0.96),1 (0.68),0 (1.0),1 (0.88),1 (0.72),1 (0.64),1 (0.84),4,LLAMA3,"(1,)",LLAMA3,"BiLSTM, CNN, KNN, LR, RF, SVM, XGBoost",FALSE,FALSE
3 (0.84),1 (0.84),2 (0.72),2 (0.76),3 (0.8),0 (0.92),2 (0.68),1 (0.8),3 (0.64),2 (0.8),2 (0.84),1 (0.76),1 (0.8),2 (0.8),1 (0.72),1,Glove,"(3,)",Glove,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",FALSE,TRUE
4 (0.68),3 (0.8),4 (0.8),3 (0.84),5 (0.8),1 (0.84),3 (0.64),3 (0.84),3 (0.76),3 (0.76),3 (0.8),4 (0.92),1 (0.88),3 (0.76),3 (0.68),3,Falcon,"(3,)",Falcon,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, RF, SVM, XGBoost",TRUE,TRUE
1 (0.8),4 (0.88),1 (0.8),3 (0.84),4 (0.76),1 (0.76),2 (0.72),1 (0.92),3 (0.8),4 (0.76),3 (0.76),4 (0.76),4 (0.84),3 (0.8),3 (0.8),2,Falcon,"(2,)",Falcon,"BiLSTM, CNN, KNN, LR, MLP, RF, SVM, XGBoost",TRUE,TRUE
5 (0.88),1 (0.84),1 (0.6),5 (0.72),1 (0.84),5 (0.84),4 (0.84),5 (0.84),3 (0.72),4 (0.72),3 (0.8),5 (0.88),2 (0.96),4 (0.8),4 (0.76),4,BERT,"(1,)",BERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM",FALSE,TRUE
0 (0.84),1 (0.84),1 (0.88),2 (0.8),1 (0.8),2 (0.72),3 (0.8),1 (0.8),1 (0.88),3 (0.88),3 (0.92),1 (0.84),3 (0.8),3 (0.72),2 (0.92),0,"ELMO,LLAMA3","(2, 3)",ELMO,"AdaBoost, LR, SVM",FALSE,TRUE
